model,condition,distortion_type,level,mean_snr_db,map50,map50_95
pretrained,clean,none,0,,0.5713,0.3956
fine-tuned,clean,none,0,,0.5625,0.3782
pretrained,distorted,gaussian_noise,1,18.74,0.5379,0.3783
fine-tuned,distorted,gaussian_noise,1,18.74,0.5656,0.399
pretrained,distorted,gaussian_noise,2,12.96,0.341,0.2653
fine-tuned,distorted,gaussian_noise,2,12.96,0.4449,0.3073
pretrained,distorted,gaussian_noise,3,8.92,0.279,0.1967
fine-tuned,distorted,gaussian_noise,3,8.92,0.3288,0.2096
pretrained,distorted,gaussian_noise,4,6.03,0.1582,0.1166
fine-tuned,distorted,gaussian_noise,4,6.03,0.1812,0.13
pretrained,distorted,salt_pepper,1,15.92,0.4919,0.3468
fine-tuned,distorted,salt_pepper,1,15.92,0.5079,0.385
pretrained,distorted,salt_pepper,2,11.95,0.3726,0.2588
fine-tuned,distorted,salt_pepper,2,11.95,0.4737,0.316
pretrained,distorted,salt_pepper,3,7.18,0.1485,0.1127
fine-tuned,distorted,salt_pepper,3,7.18,0.2339,0.1653
pretrained,distorted,salt_pepper,4,4.16,0.176,0.1206
fine-tuned,distorted,salt_pepper,4,4.16,0.1347,0.1029
pretrained,distorted,low_light,1,12.79,0.557,0.3903
fine-tuned,distorted,low_light,1,12.79,0.5621,0.3874
pretrained,distorted,low_light,2,8.19,0.5393,0.3859
fine-tuned,distorted,low_light,2,8.19,0.5443,0.3725
pretrained,distorted,low_light,3,4.59,0.485,0.3462
fine-tuned,distorted,low_light,3,4.59,0.5012,0.3425
pretrained,distorted,low_light,4,2.14,0.4687,0.333
fine-tuned,distorted,low_light,4,2.14,0.4694,0.3354
pretrained,distorted,motion_blur,1,19.56,0.4889,0.3425
fine-tuned,distorted,motion_blur,1,19.56,0.4987,0.3414
pretrained,distorted,motion_blur,2,16.83,0.2378,0.1601
fine-tuned,distorted,motion_blur,2,16.83,0.2377,0.1595
pretrained,distorted,motion_blur,3,15.05,0.1772,0.1144
fine-tuned,distorted,motion_blur,3,15.05,0.1665,0.1095
pretrained,distorted,motion_blur,4,13.8,0.0407,0.0267
fine-tuned,distorted,motion_blur,4,13.8,0.1063,0.0698
